seizoen,speeldag,datum,tijd,id_match,thuisploeg_stamnummer,thuisploeg,uitploeg_stamnummer,uitploeg,doelpunten_thuisploeg,doelpunten_uitploeg
2020,30,2021/01/09,16:15:00,3415504,2159,SV Zulte Waregem,216,Royal Excel Moeskroen (-2022),1,0
2020,30,2021/01/09,18:30:00,3415498,12,Cercle Brugge,1792,KAS Eupen,1,2
2020,30,2021/01/09,18:30:00,3415499,19,KV Kortrijk,290,KRC Genk,2,1
2020,30,2021/01/09,20:45:00,3415501,31,KV Oostende,29,R Charleroi SC,3,2
2020,30,2021/01/10,13:30:00,3415500,25,KV Mechelen,1,R Antwerp FC,3,0
2020,30,2021/01/10,16:00:00,3415497,13,Beerschot V.A.,7,KAA Gent,1,1
2020,30,2021/01/10,18:15:00,3415502,2495,Oud-Heverlee Leuven,35,RSC Anderlecht,1,0
2020,30,2021/01/10,20:45:00,3415505,322,Sint-Truidense VV,3,Club Brugge,1,2
2020,30,2021/01/11,20:45:00,3415503,16,Standard Luik,1669,KVRS Waasland - SK Beveren,3,1
2020,31,2021/03/19,20:45:00,3415506,290,KRC Genk,16,Standard Luik,2,2
2020,31,2021/03/20,18:30:00,3415512,216,Royal Excel Moeskroen (-2022),31,KV Oostende,0,1
2020,31,2021/03/20,20:45:00,3415510,1792,KAS Eupen,19,KV Kortrijk,2,0
2020,31,2021/03/21,13:30:00,3415508,3,Club Brugge,1,R Antwerp FC,0,2
2020,31,2021/03/21,16:00:00,3415511,25,KV Mechelen,2495,Oud-Heverlee Leuven,2,2
2020,31,2021/03/21,18:15:00,3415513,35,RSC Anderlecht,2159,SV Zulte Waregem,4,1
2020,31,2021/03/21,20:45:00,3415509,7,KAA Gent,12,Cercle Brugge,1,0
2020,31,2021/04/06,19:00:00,3415514,1669,KVRS Waasland - SK Beveren,322,Sint-Truidense VV,2,4
2020,31,2021/04/07,19:00:00,3415507,13,Beerschot V.A.,29,R Charleroi SC,2,1
2020,32,2021/04/03,16:15:00,3415519,31,KV Oostende,1669,KVRS Waasland - SK Beveren,0,2
2020,32,2021/04/03,18:30:00,3415523,322,Sint-Truidense VV,25,KV Mechelen,2,1
2020,32,2021/04/03,20:45:00,3415518,19,KV Kortrijk,3,Club Brugge,1,2
2020,32,2021/04/04,13:30:00,3415516,12,Cercle Brugge,13,Beerschot V.A.,2,1
2020,32,2021/04/04,18:15:00,3415515,16,Standard Luik,7,KAA Gent,2,1
2020,32,2021/04/04,20:45:00,3415521,29,R Charleroi SC,216,Royal Excel Moeskroen (-2022),1,1
2020,32,2021/04/05,13:30:00,3415520,2495,Oud-Heverlee Leuven,290,KRC Genk,2,3
2020,32,2021/04/05,16:00:00,3415522,2159,SV Zulte Waregem,1792,KAS Eupen,2,1
2020,32,2021/04/05,18:15:00,3415517,1,R Antwerp FC,35,RSC Anderlecht,1,4
2020,33,2021/04/09,20:45:00,3415528,1792,KAS Eupen,16,Standard Luik,0,4
2020,33,2021/04/10,16:15:00,3415526,12,Cercle Brugge,2495,Oud-Heverlee Leuven,3,0
2020,33,2021/04/10,18:30:00,3415524,25,KV Mechelen,2159,SV Zulte Waregem,4,2
2020,33,2021/04/10,20:45:00,3415527,7,KAA Gent,29,R Charleroi SC,4,0
2020,33,2021/04/11,13:30:00,3415529,290,KRC Genk,322,Sint-Truidense VV,4,0
2020,33,2021/04/11,16:00:00,3415532,1669,KVRS Waasland - SK Beveren,19,KV Kortrijk,3,4
2020,33,2021/04/11,18:15:00,3415531,35,RSC Anderlecht,3,Club Brugge,2,1
2020,33,2021/04/11,20:45:00,3415525,13,Beerschot V.A.,31,KV Oostende,1,2
2020,33,2021/04/12,20:45:00,3415530,216,Royal Excel Moeskroen (-2022),1,R Antwerp FC,2,3
2020,34,2021/04/17,18:30:00,3415538,29,R Charleroi SC,1792,KAS Eupen,2,3
2020,34,2021/04/17,20:45:00,3415533,1,R Antwerp FC,290,KRC Genk,3,2
2020,34,2021/04/18,18:00:00,3415534,3,Club Brugge,216,Royal Excel Moeskroen (-2022),4,2
2020,34,2021/04/18,18:00:00,3415535,19,KV Kortrijk,25,KV Mechelen,1,4
2020,34,2021/04/18,18:00:00,3415536,31,KV Oostende,12,Cercle Brugge,1,1
2020,34,2021/04/18,18:00:00,3415537,2495,Oud-Heverlee Leuven,1669,KVRS Waasland - SK Beveren,1,2
2020,34,2021/04/18,18:00:00,3415539,16,Standard Luik,13,Beerschot V.A.,3,0
2020,34,2021/04/18,18:00:00,3415540,2159,SV Zulte Waregem,7,KAA Gent,2,7
2020,34,2021/04/18,18:00:00,3415541,322,Sint-Truidense VV,35,RSC Anderlecht,0,1
