seizoen,speeldag,datum,tijd,id_match,thuisploeg_stamnummer,thuisploeg,uitploeg_stamnummer,uitploeg,doelpunten_thuisploeg,doelpunten_uitploeg
2020,7,2020/09/28,20:45:00,3415294,290,KRC Genk,31,KV Oostende,2,2
2020,8,2020/10/02,20:45:00,3415300,1,R Antwerp FC,25,KV Mechelen,4,1
2020,8,2020/10/03,16:15:00,3415307,1669,KVRS Waasland - SK Beveren,290,KRC Genk,1,1
2020,8,2020/10/03,18:30:00,3415303,1792,KAS Eupen,12,Cercle Brugge,1,2
2020,8,2020/10/03,18:30:00,3415305,2495,Oud-Heverlee Leuven,2159,SV Zulte Waregem,2,1
2020,8,2020/10/03,20:45:00,3415306,322,Sint-Truidense VV,19,KV Kortrijk,0,0
2020,8,2020/10/04,13:30:00,3415301,3,Club Brugge,35,RSC Anderlecht,3,0
2020,8,2020/10/04,16:00:00,3415302,7,KAA Gent,13,Beerschot V.A.,5,1
2020,8,2020/10/04,18:15:00,3415299,29,R Charleroi SC,16,Standard Luik,1,2
2020,8,2020/10/04,20:45:00,3415304,31,KV Oostende,216,Royal Excel Moeskroen (-2022),3,0
2020,9,2020/10/17,16:15:00,3415310,12,Cercle Brugge,7,KAA Gent,5,2
2020,9,2020/10/17,18:30:00,3415309,13,Beerschot V.A.,322,Sint-Truidense VV,6,3
2020,9,2020/10/17,18:30:00,3415311,25,KV Mechelen,19,KV Kortrijk,1,2
2020,9,2020/10/17,20:45:00,3415314,16,Standard Luik,3,Club Brugge,1,1
2020,9,2020/10/18,13:30:00,3415315,2159,SV Zulte Waregem,1,R Antwerp FC,1,3
2020,9,2020/10/18,16:00:00,3415312,216,Royal Excel Moeskroen (-2022),1792,KAS Eupen,0,2
2020,9,2020/10/18,18:15:00,3415308,290,KRC Genk,29,R Charleroi SC,2,1
2020,9,2020/10/18,20:30:00,3415313,35,RSC Anderlecht,2495,Oud-Heverlee Leuven,2,2
2020,9,2020/11/24,17:00:00,3415316,1669,KVRS Waasland - SK Beveren,31,KV Oostende,2,0
2020,10,2020/10/23,20:45:00,3415321,19,KV Kortrijk,35,RSC Anderlecht,1,3
2020,10,2020/10/24,20:45:00,3415323,2495,Oud-Heverlee Leuven,3,Club Brugge,2,1
2020,10,2020/10/25,13:30:00,3415318,1,R Antwerp FC,13,Beerschot V.A.,3,2
2020,10,2020/10/25,16:00:00,3415322,31,KV Oostende,2159,SV Zulte Waregem,3,0
2020,10,2020/10/25,18:15:00,3415325,322,Sint-Truidense VV,16,Standard Luik,2,0
2020,10,2020/10/26,20:45:00,3415319,7,KAA Gent,290,KRC Genk,1,2
2020,10,2020/11/25,17:00:00,3415317,12,Cercle Brugge,216,Royal Excel Moeskroen (-2022),1,2
2020,10,2020/12/02,17:00:00,3415324,29,R Charleroi SC,1669,KVRS Waasland - SK Beveren,0,2
2020,10,2020/12/03,17:00:00,3415320,1792,KAS Eupen,25,KV Mechelen,1,1
2020,11,2020/10/30,20:45:00,3415328,290,KRC Genk,1792,KAS Eupen,4,0
2020,11,2020/10/31,16:15:00,3415326,13,Beerschot V.A.,2495,Oud-Heverlee Leuven,4,2
2020,11,2020/10/31,18:30:00,3415331,29,R Charleroi SC,12,Cercle Brugge,3,0
2020,11,2020/10/31,20:45:00,3415327,3,Club Brugge,25,KV Mechelen,2,2
2020,11,2020/11/01,13:30:00,3415330,35,RSC Anderlecht,1,R Antwerp FC,1,0
2020,11,2020/11/01,18:15:00,3415332,16,Standard Luik,31,KV Oostende,1,0
2020,11,2020/11/01,20:45:00,3415334,1669,KVRS Waasland - SK Beveren,7,KAA Gent,1,4
2020,11,2020/11/02,20:45:00,3415333,2159,SV Zulte Waregem,19,KV Kortrijk,1,1
2020,11,2020/12/01,17:00:00,3415329,216,Royal Excel Moeskroen (-2022),322,Sint-Truidense VV,3,2
2020,12,2020/11/06,20:45:00,3415339,25,KV Mechelen,29,R Charleroi SC,3,3
2020,12,2020/11/07,16:15:00,3415338,19,KV Kortrijk,13,Beerschot V.A.,5,5
2020,12,2020/11/07,18:30:00,3415337,1792,KAS Eupen,1669,KVRS Waasland - SK Beveren,1,1
2020,12,2020/11/07,20:45:00,3415342,322,Sint-Truidense VV,290,KRC Genk,1,2
