Rank,Club,Club Number,Played,Wins,Draws,Losses,Goals,Goal_Difference,Points,Season,Day
9,Exc. Mouscron,Exc. Mouscron,32,12,8,12,41:43,-2,44,2008,32
10,KV Mechelen,25,32,11,10,11,42:49,-7,43,2008,32
11,Cercle Brugge,12,32,12,5,15,44:51,-7,41,2008,32
12,Germ. Beerschot,Germ. Beerschot,32,10,9,13,41:40,1,39,2008,32
13,R Charleroi SC,R Charleroi SC,32,10,7,15,38:47,-9,37,2008,32
14,KV Kortrijk,19,32,8,11,13,34:52,-18,35,2008,32
15,FCV Dender EH,1611,32,8,8,16,41:56,-15,32,2008,32
16,KSV Roeselare,134,32,8,6,18,31:54,-23,30,2008,32
17,AFC Tubize,2247,32,6,5,21,33:76,-43,23,2008,32
18,RAEC Mons,44,32,3,9,20,30:53,-23,18,2008,32
1,RSC Anderlecht,35,33,23,5,5,73:30,43,74,2008,33
2,Standard Luik,16,33,23,5,5,65:26,39,74,2008,33
3,KAA Gent,7,33,17,8,8,67:41,26,59,2008,33
4,Club Brugge,3,33,17,5,11,55:49,6,56,2008,33
5,Zulte Waregem,Zulte Waregem,33,15,7,11,52:36,16,52,2008,33
6,KVC Westerlo,867,33,15,7,11,41:35,6,52,2008,33
7,KSC Lokeren,KSC Lokeren,33,13,12,8,40:29,11,51,2008,33
8,KRC Genk,290,33,15,5,13,48:49,-1,50,2008,33
9,Exc. Mouscron,Exc. Mouscron,33,12,8,13,41:45,-4,44,2008,33
10,Cercle Brugge,12,33,13,5,15,46:52,-6,44,2008,33
11,KV Mechelen,25,33,11,10,12,43:52,-9,43,2008,33
12,Germ. Beerschot,Germ. Beerschot,33,11,9,13,44:41,3,42,2008,33
13,R Charleroi SC,R Charleroi SC,33,11,7,15,41:47,-6,40,2008,33
14,FCV Dender EH,1611,33,9,8,16,43:56,-13,35,2008,33
15,KV Kortrijk,19,33,8,11,14,34:54,-20,35,2008,33
16,KSV Roeselare,134,33,8,6,19,32:57,-25,30,2008,33
17,AFC Tubize,2247,33,6,6,21,34:77,-43,24,2008,33
18,RAEC Mons,44,33,3,10,20,31:54,-23,19,2008,33
1,RSC Anderlecht,35,34,24,5,5,75:30,45,77,2008,34
2,Standard Luik,16,34,24,5,5,66:26,40,77,2008,34
3,KAA Gent,7,34,17,8,9,67:42,25,59,2008,34
4,Club Brugge,3,34,18,5,11,59:50,9,59,2008,34
5,Zulte Waregem,Zulte Waregem,34,16,7,11,55:36,19,55,2008,34
6,KVC Westerlo,867,34,15,7,12,42:38,4,52,2008,34
7,KSC Lokeren,KSC Lokeren,34,13,12,9,40:32,8,51,2008,34
8,KRC Genk,290,34,15,5,14,48:51,-3,50,2008,34
9,Cercle Brugge,12,34,14,5,15,48:53,-5,47,2008,34
10,KV Mechelen,25,34,12,10,12,46:52,-6,46,2008,34
11,Exc. Mouscron,Exc. Mouscron,34,12,8,14,42:49,-7,44,2008,34
12,R Charleroi SC,R Charleroi SC,34,12,7,15,43:48,-5,43,2008,34
13,Germ. Beerschot,Germ. Beerschot,34,11,9,14,44:42,2,42,2008,34
14,KV Kortrijk,19,34,9,11,14,37:55,-18,38,2008,34
15,FCV Dender EH,1611,34,9,8,17,44:58,-14,35,2008,34
16,KSV Roeselare,134,34,8,6,20,33:59,-26,30,2008,34
17,AFC Tubize,2247,34,7,6,21,35:77,-42,27,2008,34
18,RAEC Mons,44,34,3,10,21,31:57,-26,19,2008,34
